"id","activity_id","start_time","end_time","date"
1,422,"07:18:00","20:14:00","2024-07-01"
2,696,"01:12:00","02:52:00","2024-03-27"
3,820,"16:19:00","08:26:00","2024-01-22"
4,1085,"23:29:00","01:33:00","2024-05-10"
5,1038,"07:28:00","08:50:00","2024-09-19"
6,1068,"13:28:00","10:59:00","2024-06-12"
7,765,"07:27:00","16:37:00","2023-12-26"
8,818,"04:28:00","02:38:00","2024-03-24"
9,1038,"18:51:00","03:41:00","2024-10-15"
10,691,"08:58:00","08:10:00","2024-02-12"
11,750,"13:19:00","21:49:00","2024-01-17"
12,991,"08:53:00","22:54:00","2024-06-05"
13,897,"03:21:00","01:30:00","2024-11-10"
14,1122,"04:00:00","05:33:00","2023-12-23"
15,1079,"18:00:00","09:30:00","2024-11-27"
16,405,"04:10:00","14:04:00","2024-02-21"
17,849,"09:12:00","05:50:00","2024-09-02"
18,663,"14:23:00","03:55:00","2024-01-30"
19,621,"00:16:00","16:39:00","2024-03-20"
20,1095,"18:50:00","08:16:00","2024-02-06"
21,1050,"12:32:00","21:46:00","2024-02-12"
22,804,"00:57:00","08:27:00","2024-08-08"
23,698,"05:22:00","21:25:00","2024-10-18"
24,998,"20:22:00","22:27:00","2024-09-20"
25,1001,"00:37:00","00:28:00","2024-03-06"
26,1063,"21:27:00","12:28:00","2024-10-04"
27,631,"12:26:00","01:23:00","2024-01-03"
28,1004,"11:45:00","19:52:00","2024-05-21"
29,686,"10:38:00","06:36:00","2024-01-14"
30,626,"10:00:00","08:33:00","2024-11-11"
31,789,"00:15:00","11:44:00","2024-02-25"
32,972,"17:34:00","11:23:00","2023-12-30"
33,890,"00:24:00","06:08:00","2024-12-08"
34,444,"06:56:00","20:15:00","2024-02-17"
35,947,"06:45:00","10:03:00","2024-08-10"
36,527,"19:06:00","05:25:00","2024-06-06"
37,621,"09:33:00","01:34:00","2024-07-19"
38,1077,"09:47:00","08:51:00","2024-10-28"
39,581,"02:25:00","05:33:00","2024-08-31"
40,975,"02:40:00","19:57:00","2024-09-07"
41,858,"02:45:00","14:12:00","2024-01-22"
42,964,"14:37:00","08:33:00","2024-10-12"
43,972,"13:57:00","08:58:00","2024-04-25"
44,904,"05:41:00","03:08:00","2024-09-04"
45,564,"08:46:00","18:02:00","2024-07-01"
46,905,"19:47:00","15:45:00","2024-10-12"
47,429,"03:18:00","19:36:00","2024-03-23"
48,870,"13:39:00","10:53:00","2024-08-05"
49,447,"19:49:00","23:07:00","2024-10-07"
50,478,"12:23:00","06:56:00","2024-07-29"
51,1102,"04:57:00","17:54:00","2024-09-15"
52,538,"23:48:00","04:34:00","2024-10-04"
53,551,"06:25:00","20:55:00","2024-06-28"
54,587,"19:26:00","09:36:00","2024-04-09"
55,518,"02:21:00","02:02:00","2023-12-19"
56,664,"14:00:00","12:14:00","2024-04-07"
57,956,"14:19:00","16:13:00","2024-10-26"
58,699,"08:48:00","20:41:00","2024-02-07"
59,1041,"16:14:00","03:02:00","2024-10-21"
60,846,"15:39:00","05:05:00","2024-11-29"
61,705,"05:57:00","16:18:00","2024-10-12"
62,565,"03:38:00","17:07:00","2024-08-18"
63,712,"03:19:00","18:08:00","2024-04-22"
64,704,"20:06:00","10:34:00","2024-10-03"
65,649,"04:11:00","09:12:00","2024-09-05"
66,712,"16:12:00","04:03:00","2024-12-06"
67,925,"03:09:00","16:00:00","2024-02-04"
68,471,"22:14:00","23:55:00","2024-05-29"
69,761,"22:34:00","02:42:00","2024-06-13"
70,1018,"20:29:00","11:56:00","2024-11-12"
71,660,"06:45:00","17:32:00","2024-07-13"
72,722,"00:00:00","17:07:00","2024-08-26"
73,426,"11:18:00","21:38:00","2024-12-01"
74,1036,"18:51:00","02:19:00","2024-10-13"
75,1079,"05:58:00","16:55:00","2024-01-25"
76,662,"18:48:00","01:40:00","2024-08-21"
77,672,"08:10:00","15:52:00","2023-12-28"
78,430,"07:09:00","18:37:00","2024-01-13"
79,774,"05:32:00","15:23:00","2024-09-09"
80,560,"02:40:00","13:19:00","2024-03-01"
81,640,"03:27:00","21:09:00","2023-12-19"
82,479,"15:30:00","12:08:00","2024-07-16"
83,1079,"17:09:00","12:27:00","2024-01-16"
84,578,"07:40:00","22:46:00","2024-05-06"
85,648,"12:44:00","01:38:00","2024-02-22"
86,872,"04:57:00","21:44:00","2024-07-07"
87,1123,"09:13:00","18:35:00","2024-07-24"
88,646,"04:20:00","10:44:00","2024-10-14"
89,580,"22:45:00","20:24:00","2024-06-17"
90,702,"02:10:00","23:54:00","2024-10-12"
91,710,"18:24:00","01:48:00","2024-09-18"
92,439,"01:37:00","07:41:00","2024-04-18"
93,878,"09:44:00","11:47:00","2024-08-14"
94,1032,"20:41:00","02:27:00","2024-06-01"
95,714,"22:09:00","12:20:00","2024-05-27"
96,692,"04:30:00","16:02:00","2024-09-21"
97,633,"17:55:00","13:57:00","2024-11-17"
98,682,"12:06:00","14:20:00","2024-11-18"
99,485,"08:48:00","14:49:00","2024-09-21"
100,889,"19:34:00","03:59:00","2024-08-03"
101,774,"21:07:00","13:43:00","2024-07-15"
102,1022,"00:22:00","12:23:00","2024-11-21"
103,615,"05:49:00","18:14:00","2024-05-21"
104,890,"00:31:00","23:08:00","2024-07-29"
105,965,"09:16:00","23:06:00","2024-08-05"
106,420,"17:57:00","02:24:00","2024-03-12"
107,438,"02:16:00","22:12:00","2024-11-18"
108,630,"21:25:00","22:02:00","2024-11-23"
109,538,"05:02:00","06:10:00","2024-03-29"
110,829,"17:49:00","13:33:00","2024-02-27"
111,996,"02:02:00","10:00:00","2024-03-13"
112,1091,"20:11:00","21:20:00","2024-03-05"
113,633,"02:05:00","16:42:00","2024-04-16"
114,944,"16:43:00","14:06:00","2024-04-21"
115,632,"10:50:00","21:01:00","2024-05-14"
116,742,"05:20:00","01:36:00","2024-03-03"
117,961,"07:34:00","02:15:00","2023-12-31"
118,513,"05:03:00","18:33:00","2024-05-13"
119,519,"07:31:00","16:41:00","2024-11-12"
120,649,"23:24:00","06:35:00","2024-02-21"
121,605,"08:30:00","20:02:00","2024-10-17"
122,1108,"07:08:00","12:01:00","2024-10-29"
123,652,"03:41:00","16:37:00","2024-11-10"
124,483,"05:26:00","07:19:00","2024-11-25"
125,572,"18:33:00","23:43:00","2024-04-18"
126,518,"19:43:00","00:56:00","2024-03-02"
127,577,"06:27:00","03:06:00","2024-11-19"
128,1017,"23:19:00","23:28:00","2024-02-15"
129,1108,"23:40:00","04:57:00","2024-11-02"
130,722,"07:40:00","15:04:00","2024-10-11"
131,628,"01:02:00","13:03:00","2024-02-18"
132,486,"04:32:00","03:11:00","2024-06-13"
133,928,"11:24:00","07:15:00","2024-07-12"
134,456,"21:21:00","09:41:00","2024-07-07"
135,480,"13:12:00","09:24:00","2024-03-18"
136,506,"10:23:00","10:52:00","2024-06-04"
137,783,"19:14:00","08:18:00","2024-11-25"
138,1022,"03:02:00","16:05:00","2024-01-20"
139,1021,"12:23:00","09:47:00","2024-04-22"
140,990,"20:19:00","15:01:00","2024-04-20"
141,1019,"05:20:00","17:28:00","2024-11-26"
142,546,"16:44:00","15:43:00","2024-03-03"
143,544,"01:26:00","09:16:00","2024-11-03"
144,976,"17:39:00","05:32:00","2024-05-03"
145,1059,"11:54:00","02:28:00","2024-06-20"
146,507,"16:37:00","17:26:00","2024-05-23"
147,422,"06:08:00","15:37:00","2024-10-23"
148,563,"09:11:00","20:21:00","2024-03-11"
149,1070,"19:58:00","19:08:00","2024-07-23"
150,441,"03:37:00","12:55:00","2024-03-20"
151,840,"19:04:00","03:23:00","2024-10-23"
152,1062,"12:05:00","11:40:00","2024-10-09"
153,1122,"04:51:00","21:20:00","2024-06-03"
154,1088,"23:41:00","15:00:00","2024-04-29"
155,713,"02:26:00","16:33:00","2024-09-10"
156,564,"12:41:00","07:50:00","2024-03-02"
157,568,"21:07:00","00:23:00","2024-05-23"
158,593,"14:00:00","11:38:00","2024-04-21"
159,539,"01:59:00","08:20:00","2023-12-25"
160,495,"21:51:00","17:47:00","2024-04-17"
161,646,"16:27:00","23:24:00","2024-06-10"
162,443,"00:00:00","09:43:00","2024-02-18"
163,702,"07:11:00","18:58:00","2024-11-17"
164,1114,"06:47:00","15:44:00","2024-09-11"
165,1111,"21:14:00","23:56:00","2024-09-20"
166,650,"06:40:00","02:52:00","2024-03-19"
167,934,"19:34:00","11:31:00","2024-02-27"
168,436,"08:27:00","18:09:00","2024-10-02"
169,827,"18:09:00","04:02:00","2024-11-27"
170,422,"07:54:00","14:52:00","2024-05-26"
171,399,"22:30:00","02:45:00","2024-04-06"
172,803,"23:03:00","01:01:00","2024-02-12"
173,613,"13:54:00","09:30:00","2024-02-06"
174,962,"13:59:00","03:53:00","2024-07-24"
175,877,"11:05:00","16:57:00","2024-02-22"
176,742,"00:51:00","00:55:00","2024-04-24"
177,714,"11:49:00","21:35:00","2024-06-28"
178,702,"15:14:00","07:33:00","2024-08-29"
179,716,"21:28:00","06:23:00","2024-07-10"
180,953,"10:59:00","20:17:00","2024-02-09"
181,405,"06:34:00","10:24:00","2024-05-15"
182,1005,"23:26:00","09:20:00","2024-12-04"
183,939,"19:12:00","00:21:00","2024-06-12"
184,1115,"23:51:00","02:53:00","2024-05-01"
185,974,"22:41:00","20:55:00","2024-01-11"
186,435,"20:03:00","11:26:00","2024-03-16"
187,885,"19:34:00","02:30:00","2024-08-22"
188,813,"06:14:00","11:28:00","2024-03-16"
189,788,"00:36:00","09:56:00","2024-10-23"
190,402,"01:31:00","04:56:00","2024-03-04"
191,807,"11:44:00","12:50:00","2024-08-01"
192,753,"20:12:00","00:25:00","2024-07-17"
193,1114,"13:52:00","15:42:00","2024-07-02"
194,1108,"01:07:00","07:25:00","2023-12-21"
195,454,"14:58:00","08:50:00","2024-10-05"
196,455,"12:15:00","17:40:00","2024-04-11"
197,851,"08:30:00","05:49:00","2024-04-23"
198,561,"07:07:00","23:03:00","2024-09-23"
199,848,"04:16:00","10:33:00","2024-08-28"
200,972,"09:46:00","22:49:00","2024-07-14"
201,433,"18:52:00","16:52:00","2023-12-26"
202,820,"08:15:00","02:49:00","2024-07-09"
203,598,"02:50:00","05:44:00","2024-08-22"
204,1098,"19:09:00","01:30:00","2024-12-08"
205,692,"14:24:00","05:46:00","2024-04-24"
206,421,"00:25:00","17:10:00","2024-07-01"
207,607,"06:30:00","14:54:00","2024-10-08"
208,574,"15:47:00","22:45:00","2024-01-16"
209,407,"14:53:00","04:33:00","2024-05-20"
210,413,"15:45:00","04:17:00","2024-01-14"
211,644,"03:07:00","14:57:00","2024-11-12"
212,914,"18:23:00","21:13:00","2024-02-15"
213,577,"16:24:00","20:06:00","2024-02-21"
214,990,"11:01:00","16:44:00","2024-03-10"
215,1081,"21:08:00","02:55:00","2024-08-20"
216,491,"10:31:00","14:38:00","2024-03-21"
217,901,"09:56:00","03:02:00","2024-08-26"
218,425,"13:20:00","13:38:00","2024-06-05"
219,1087,"07:26:00","08:51:00","2024-11-20"
220,781,"14:45:00","08:08:00","2024-06-10"
221,593,"22:44:00","20:13:00","2024-11-19"
222,508,"18:38:00","01:30:00","2024-05-11"
223,678,"02:10:00","03:21:00","2024-04-02"
224,1079,"00:46:00","11:42:00","2024-03-29"
225,566,"00:07:00","07:03:00","2024-05-16"
226,1068,"09:26:00","08:04:00","2024-05-17"
227,1038,"11:43:00","02:24:00","2024-04-19"
228,454,"17:26:00","01:35:00","2024-07-13"
229,1071,"07:07:00","23:42:00","2024-09-22"
230,781,"04:26:00","22:16:00","2024-04-17"
231,1114,"22:50:00","08:32:00","2024-04-02"
232,504,"05:54:00","09:57:00","2024-09-05"
233,1022,"03:09:00","10:27:00","2024-08-25"
234,459,"05:19:00","14:55:00","2024-06-01"
235,778,"16:09:00","07:32:00","2024-01-09"
236,781,"08:59:00","19:55:00","2024-08-06"
237,417,"06:59:00","16:36:00","2024-02-28"
238,757,"14:20:00","07:22:00","2024-05-19"
239,840,"04:57:00","12:17:00","2024-05-19"
240,685,"23:07:00","16:01:00","2024-11-15"
241,652,"03:21:00","02:18:00","2024-01-05"
242,879,"07:31:00","00:42:00","2024-05-20"
243,708,"22:34:00","03:53:00","2024-10-01"
244,497,"21:11:00","15:50:00","2024-11-03"
245,601,"14:17:00","02:07:00","2024-06-30"
246,437,"16:28:00","04:57:00","2024-04-21"
247,762,"16:55:00","19:02:00","2024-05-06"
248,718,"10:27:00","17:51:00","2024-08-06"
249,1124,"23:15:00","15:12:00","2024-06-22"
250,951,"17:17:00","11:20:00","2024-03-13"
251,747,"10:33:00","12:56:00","2024-09-19"
252,1101,"00:50:00","08:11:00","2024-02-25"
253,401,"20:49:00","07:04:00","2024-11-12"
254,601,"02:09:00","20:02:00","2024-07-27"
255,1067,"07:48:00","02:07:00","2024-05-21"
256,793,"01:42:00","21:09:00","2024-03-19"
257,488,"04:19:00","10:21:00","2024-12-10"
258,540,"01:11:00","23:21:00","2024-03-03"
259,887,"16:48:00","05:24:00","2024-04-26"
260,685,"12:34:00","16:33:00","2024-11-25"
261,1056,"10:52:00","23:12:00","2024-08-06"
262,1067,"03:43:00","07:05:00","2024-02-01"
263,594,"01:59:00","11:17:00","2024-04-12"
264,541,"12:19:00","09:57:00","2024-03-23"
265,802,"19:04:00","07:47:00","2024-02-11"
266,994,"19:35:00","14:23:00","2024-04-11"
267,759,"02:29:00","12:34:00","2024-06-17"
268,683,"14:47:00","10:48:00","2024-10-18"
269,467,"12:25:00","05:17:00","2023-12-31"
270,649,"05:05:00","05:30:00","2024-11-27"
271,1034,"09:36:00","08:24:00","2023-12-17"
272,1050,"17:55:00","17:50:00","2024-01-09"
273,786,"17:00:00","22:53:00","2024-06-28"
274,897,"13:41:00","03:38:00","2024-10-10"
275,733,"09:07:00","21:26:00","2023-12-21"
276,750,"22:49:00","02:02:00","2024-01-05"
277,718,"00:24:00","03:02:00","2024-01-21"
278,549,"16:08:00","19:56:00","2024-06-20"
279,936,"02:50:00","06:14:00","2024-02-02"
280,951,"08:04:00","02:54:00","2024-01-03"
281,487,"03:35:00","13:42:00","2024-09-16"
282,935,"04:35:00","20:08:00","2024-08-13"
283,1099,"12:58:00","10:30:00","2024-10-15"
284,808,"12:30:00","23:14:00","2024-07-20"
285,532,"18:02:00","11:05:00","2024-09-30"
286,800,"17:39:00","05:46:00","2024-06-14"
287,1006,"06:53:00","19:55:00","2024-02-15"
288,791,"14:55:00","18:43:00","2024-12-08"
289,1093,"12:03:00","15:45:00","2024-06-10"
290,1047,"12:52:00","03:18:00","2024-10-10"
291,562,"17:21:00","16:44:00","2024-11-24"
292,660,"23:29:00","07:15:00","2024-11-13"
293,407,"03:20:00","01:36:00","2024-12-10"
294,663,"13:20:00","19:06:00","2024-01-18"
295,1087,"10:35:00","15:59:00","2024-06-01"
296,606,"18:36:00","11:34:00","2024-12-02"
297,1054,"14:59:00","01:31:00","2024-05-02"
298,1071,"13:18:00","23:54:00","2024-07-18"
299,579,"02:46:00","20:59:00","2024-10-26"
300,436,"09:00:00","03:32:00","2024-08-28"
301,404,"01:37:00","07:32:00","2024-04-26"
302,965,"07:17:00","18:40:00","2024-09-12"
303,794,"00:39:00","06:12:00","2024-11-25"
304,981,"02:22:00","10:40:00","2024-01-31"
305,582,"13:43:00","05:22:00","2024-01-05"
306,425,"11:20:00","19:23:00","2024-03-03"
307,523,"05:43:00","10:47:00","2024-04-13"
308,913,"02:35:00","17:49:00","2024-01-04"
309,1023,"03:02:00","03:16:00","2024-05-18"
310,781,"04:32:00","02:57:00","2024-06-22"
311,551,"15:41:00","03:39:00","2024-06-19"
312,985,"21:32:00","19:14:00","2024-09-07"
313,418,"10:02:00","10:31:00","2024-09-23"
314,838,"09:15:00","09:53:00","2024-08-17"
315,677,"22:00:00","04:14:00","2024-12-01"
316,679,"19:59:00","09:12:00","2024-09-16"
317,1076,"04:26:00","00:05:00","2024-01-02"
318,816,"02:13:00","16:41:00","2024-05-26"
319,738,"22:26:00","00:00:00","2024-09-26"
320,615,"03:42:00","08:53:00","2024-01-10"
321,752,"21:29:00","11:50:00","2024-02-19"
322,827,"06:35:00","08:17:00","2024-04-02"
323,836,"23:07:00","00:15:00","2024-01-10"
324,931,"00:30:00","07:55:00","2024-03-02"
325,783,"10:37:00","02:06:00","2024-01-17"
326,501,"02:09:00","02:44:00","2024-07-01"
327,437,"13:56:00","12:38:00","2024-10-11"
328,847,"19:57:00","06:13:00","2024-10-09"
329,630,"19:30:00","22:12:00","2024-06-09"
330,609,"20:56:00","15:04:00","2024-09-08"
331,854,"16:23:00","12:34:00","2024-06-12"
332,480,"13:44:00","05:26:00","2024-03-11"
333,570,"09:08:00","23:41:00","2024-10-15"
334,724,"02:35:00","10:05:00","2024-10-13"
335,907,"23:56:00","20:10:00","2024-10-14"
336,1100,"00:27:00","11:13:00","2024-05-04"
337,946,"06:01:00","07:44:00","2024-01-30"
338,925,"02:51:00","06:27:00","2024-08-15"
339,1111,"02:25:00","20:58:00","2024-09-19"
340,845,"06:51:00","23:07:00","2024-11-04"
341,1062,"08:20:00","10:04:00","2024-04-09"
342,503,"22:55:00","04:39:00","2024-04-21"
343,1022,"12:19:00","12:04:00","2024-10-22"
344,645,"14:28:00","01:54:00","2024-05-05"
345,795,"19:51:00","06:40:00","2024-11-02"
346,707,"17:11:00","15:53:00","2024-10-31"
347,696,"15:12:00","00:17:00","2024-02-11"
348,677,"07:26:00","16:16:00","2024-06-06"
349,423,"12:37:00","04:12:00","2024-06-14"
350,954,"23:01:00","12:18:00","2024-02-18"
351,986,"19:37:00","05:54:00","2024-09-16"
352,995,"09:33:00","17:48:00","2023-12-30"
353,549,"06:33:00","09:50:00","2023-12-17"
354,897,"19:05:00","03:14:00","2024-03-06"
355,419,"06:18:00","21:50:00","2024-08-19"
356,404,"12:00:00","17:55:00","2024-02-03"
357,735,"07:19:00","04:54:00","2024-06-13"
358,879,"10:36:00","14:27:00","2024-04-01"
359,1079,"02:23:00","18:36:00","2024-08-26"
360,1104,"16:40:00","02:42:00","2024-07-25"
361,966,"00:49:00","05:00:00","2024-03-19"
362,556,"21:43:00","17:47:00","2024-08-07"
363,1025,"04:17:00","09:24:00","2024-11-18"
364,421,"14:17:00","06:29:00","2024-12-11"
365,749,"22:49:00","16:10:00","2023-12-13"
366,461,"16:00:00","02:23:00","2024-11-12"
367,589,"16:58:00","07:35:00","2024-11-26"
368,1012,"10:07:00","00:34:00","2024-07-02"
369,640,"14:14:00","15:09:00","2024-09-30"
370,925,"21:21:00","15:30:00","2024-07-29"
371,517,"07:15:00","20:34:00","2024-11-27"
372,642,"18:54:00","09:56:00","2024-05-28"
373,629,"07:33:00","23:13:00","2024-10-25"
374,1054,"16:36:00","12:52:00","2024-06-25"
375,1050,"08:29:00","14:32:00","2024-10-06"
376,826,"02:50:00","01:21:00","2024-03-30"
377,922,"23:33:00","01:54:00","2024-03-25"
378,618,"11:27:00","09:10:00","2024-05-11"
379,716,"02:06:00","20:32:00","2024-08-13"
380,901,"00:41:00","17:45:00","2024-05-19"
381,1120,"21:13:00","22:51:00","2024-02-20"
382,1053,"22:53:00","02:20:00","2024-08-09"
383,921,"19:38:00","07:18:00","2024-09-02"
384,589,"20:37:00","17:51:00","2024-06-04"
385,822,"02:32:00","18:25:00","2024-02-03"
386,436,"23:54:00","10:50:00","2024-11-04"
387,643,"22:50:00","04:53:00","2024-01-13"
