Name,open_at,close_at,country_id
"Food - Plant Source, Cashew Nut Anacardium occidentalie",8:36 PM,4:41 PM,43
Veal,9:26 PM,6:33 AM,47
Heparin Sodium,5:41 PM,9:35 PM,3
Loratadine,11:41 AM,12:27 AM,19
Zegerid,6:29 PM,11:47 PM,25
Bupropion Hydrochloride,1:19 PM,6:53 PM,3
Levothyroxine sodium,7:54 AM,6:16 AM,19
Stavudine,3:20 PM,1:12 PM,35
jane Be Beautiful,2:44 PM,12:34 AM,5
NightTime,5:44 AM,2:58 AM,49
Kool and Kleen Antiseptic,3:46 PM,4:52 PM,6
KINKAN,1:56 AM,6:26 AM,34
Protex,10:37 AM,11:35 AM,30
HYDROXYZINE HYDROCHLORIDE,7:56 PM,9:28 AM,26
Pussy Willow,10:04 AM,4:21 PM,1
tussin,10:51 PM,10:38 PM,28
Therapytion Nokmosu Hair Tonic,1:49 AM,9:20 AM,33
Cholestyramine,7:20 AM,1:55 PM,36
Benzocaine,2:07 PM,10:19 AM,45
DiorSkin Nude 070 Dark Brown,3:20 PM,3:47 PM,30
Bio Honeysuckle,10:51 PM,9:53 PM,32
Alcohol Prep Pad with Benzocaine,2:47 AM,6:05 AM,23
Atenolol,6:59 PM,1:25 AM,36
Metoprolol Succinate,6:12 AM,8:05 PM,2
SEROQUEL,1:20 PM,4:20 PM,27
Illusion Tinted Moisturizer Broad Spectrum Shell,4:33 PM,12:24 AM,1
Pamidronate Disodium,5:40 PM,11:34 PM,28
Bloxiverz,1:18 PM,3:51 AM,43
Amoxicillin,10:18 AM,3:07 PM,3
GBGF,8:17 AM,9:47 PM,44
Equate Antacid,10:57 AM,2:34 PM,41
Inflammation,7:33 PM,6:17 PM,44
Nifedical,11:25 PM,7:45 AM,19
Hydrochlorothiazide,11:17 PM,3:36 PM,23
ESIKA,1:27 PM,4:00 PM,8
CARYA ILLINOINENSIS POLLEN,6:03 AM,4:27 PM,43
XtraCare Hand Sanitizer,3:13 PM,8:05 AM,24
Bromday,11:05 PM,11:31 PM,35
Chlorpropamide,7:14 AM,3:56 AM,36
KETALAR,9:55 PM,2:30 PM,14
Shrimp,9:49 AM,7:50 PM,19
Methoxsalen,12:44 PM,10:31 AM,28
Treatment Set TS332679,7:43 AM,7:05 AM,14
Purminerals 4-in-1 14-Hour Wear Foundation Broad Spectrum SPF 15 (LIGHT),6:07 PM,8:30 AM,39
Carvedilol,8:22 AM,12:41 PM,45
Losartan Potassium,5:04 PM,9:16 PM,24
sunmark allergy multi symptom,11:28 PM,11:43 AM,45
Climate Adaptation Hot and Humid,9:18 PM,9:46 PM,16
EQUATE,11:32 AM,10:10 AM,41
