activity_id,start_time,end_time,date
695,5:01 PM,4:09 PM,5/27/2021
656,6:42 AM,4:42 PM,1/21/2021
708,2:57 AM,6:47 PM,1/2/2020
943,11:22 PM,1:20 PM,6/26/2019
782,4:31 AM,12:24 AM,1/28/2020
403,12:17 AM,2:24 PM,11/11/2021
937,1:38 AM,9:28 PM,4/25/2019
1126,4:38 AM,7:46 AM,1/19/2022
490,6:09 AM,5:44 PM,1/25/2021
998,12:24 PM,8:52 PM,7/20/2019
486,6:56 PM,11:34 PM,5/10/2020
589,9:41 AM,9:52 AM,8/25/2022
448,6:31 PM,2:12 PM,4/16/2022
923,1:08 AM,8:28 PM,8/6/2020
467,7:48 AM,9:47 PM,1/22/2022
734,10:10 AM,10:15 PM,5/18/2019
708,6:47 AM,10:25 PM,8/27/2021
718,4:32 AM,6:53 AM,2/23/2019
944,7:09 PM,5:46 AM,5/6/2020
693,9:04 PM,4:08 AM,2/21/2019
874,8:47 AM,5:24 PM,12/19/2022
503,2:34 PM,11:57 AM,8/31/2021
942,3:42 AM,7:49 AM,7/7/2022
703,3:34 AM,3:47 AM,4/6/2021
692,9:16 PM,1:24 PM,9/2/2021
874,8:58 AM,10:58 PM,9/7/2022
891,4:57 AM,3:34 PM,8/12/2021
567,6:32 PM,6:58 AM,8/7/2022
523,10:55 AM,11:57 PM,8/5/2020
487,3:05 PM,7:15 PM,6/9/2022
788,4:45 AM,2:23 AM,12/2/2022
886,8:52 AM,9:16 AM,2/8/2019
943,2:16 PM,1:55 PM,7/13/2020
976,10:48 PM,11:15 PM,2/13/2019
903,2:25 PM,4:19 AM,4/27/2019
864,11:30 AM,6:53 AM,6/23/2022
537,10:53 AM,10:16 AM,9/19/2020
472,8:49 AM,6:19 PM,6/1/2020
703,5:19 AM,11:17 PM,8/12/2019
548,10:54 PM,1:32 AM,11/14/2019
839,4:03 AM,2:28 AM,8/12/2021
1029,9:33 AM,1:38 PM,8/6/2020
668,12:43 AM,7:37 PM,2/8/2022
755,9:05 PM,1:40 AM,7/18/2021
597,5:20 PM,12:26 PM,7/26/2021
507,12:30 AM,11:10 AM,1/12/2020
1101,9:03 PM,6:29 AM,10/15/2020
576,3:37 PM,8:20 PM,12/21/2019
427,3:05 AM,6:07 PM,3/8/2021
713,8:49 PM,2:40 PM,7/12/2021
517,7:55 PM,9:05 AM,11/28/2022
399,6:05 PM,2:51 PM,3/30/2020
1063,2:05 PM,5:56 AM,3/24/2020
621,5:09 PM,3:12 AM,3/1/2019
616,2:06 PM,2:17 PM,11/4/2020
1115,3:52 AM,12:23 PM,11/30/2019
955,5:25 AM,7:41 PM,10/10/2020
830,11:15 PM,11:37 PM,11/5/2021
432,6:10 PM,6:12 AM,3/31/2019
658,10:56 PM,1:17 PM,11/10/2022
753,9:17 PM,1:52 PM,2/2/2020
425,5:10 AM,11:29 AM,12/24/2019
