activity_instance_id,member_id
529,4082
3141,3754
281,1700
1888,388
2073,1169
3543,728
1462,776
335,1527
1362,3654
140,1308
2309,481
3816,1506
3978,3175
3742,1465
1720,1739
694,3051
3440,1430
1275,1748
3384,4980
1035,1853
1034,3907
2335,1989
420,3612
3792,4274
3947,1749
3554,1643
1717,1041
1446,4070
1418,1525
3492,2865
1925,1820
1376,4378
2758,1880
1134,2714
1159,2260
2198,798
3266,227
3924,2896
1273,855
2886,1591
2706,4445
1972,2778
337,2957
2229,3381
1997,829
2638,2771
380,634
356,1667
60,575
1967,4611
2630,4937
462,4877
2627,2970
3432,4807
1685,1920
2726,1129
738,2420
1605,80
1423,4652
2838,3366
2016,3617
346,1554
3263,3123
3060,2761
3598,583
662,822
960,4577
3819,38
2807,4428
3570,2543
79,2042
957,2406
2576,3869
2096,4961
771,4651
1927,3056
994,1219
377,3929
1544,4007
1828,1474
2194,4035
1152,224
128,4009
1714,2455
1667,2726
2476,2611
2424,3620
935,2093
1095,1913
1419,3625
515,4522
1421,2805
61,58
809,2040
2891,119
2790,3963
3487,4715
3499,3100
2071,426
555,3664
1696,1191
1129,285
3140,2185
3413,3961
37,2880
1162,4762
1579,3396
507,235
3250,4558
3039,1276
442,4467
3942,3389
292,617
2770,571
839,4481
1366,699
2283,1824
2504,2258
551,239
3400,2979
3343,309
99,4205
3796,3263
1648,3250
1820,1741
2969,3023
3083,4215
2549,4328
1420,324
1530,1865
2718,4488
2443,2147
2603,4983
2810,2381
2918,4363
3726,3499
1119,2878
2352,3524
366,2623
3455,2135
211,2101
3282,4242
1920,1454
3996,2377
3082,3766
3891,3019
1634,2269
2501,3057
3439,1844
463,502
2146,2337
909,763
284,222
1831,385
2596,2189
3255,1189
609,1588
685,444
341,368
2145,3497
3676,193
3818,160
3153,120
3895,3098
2774,4306
2843,3187
1599,4650
2626,1692
2222,2645
3959,278
3607,1663
2092,3762
2613,1609
35,1398
942,1231
1487,2851
931,1446
2041,2923
822,398
213,3618
3295,4508
1590,3673
2450,863
2595,4965
69,3788
2641,117
2065,4691
19,1587
2875,2728
1897,988
1433,4487
2125,3262
3291,1428
721,3083
2589,3016
1609,2584
1116,1910
878,4896
1274,2574
602,169
2458,1087
2189,1750
1014,51
1196,959
313,2883
3869,4376
2494,3898
3383,2145
294,4253
3515,602
1996,4512
309,3271
1907,3409
2719,2066
992,1726
3473,3251
1471,4766
735,801
3347,1829
2140,532
1792,935
1023,1695
2385,1892
2024,3050
1059,1098
3718,4090
2076,1642
1246,4789
3837,3146
2673,1927
2570,3523
1584,3619
220,4849
1952,2026
752,2940
1830,318
3239,3911
2174,4224
670,348
1139,3575
2112,827
1303,432
314,166
3563,3792
2059,3926
2421,3737
3243,4299
3416,3806
73,2294
1150,4480
1211,3107
3445,695
1636,4516
606,45
1310,1714
136,3081
2342,4863
3175,4708
1588,1023
1561,751
2067,3841
2778,937
3862,2322
1037,4146
3875,441
1469,4367
2800,3437
1271,1126
3685,3300
