activity_instance_id,member_id
519,4871
1361,215
3629,1069
1273,1300
347,4977
2113,2027
2114,188
550,2969
2874,1991
3770,3918
1020,2799
701,4815
2278,3758
525,1831
1039,166
2536,1926
3746,178
1283,2037
451,856
1030,4901
1181,965
1728,2393
1140,580
3495,3541
3469,4877
246,423
927,4077
1035,261
1185,2374
3118,803
1496,2496
813,71
2718,126
1384,3759
1346,4056
2096,4875
1214,662
3351,3563
905,4979
2539,4477
2209,2972
3434,3021
1661,1782
1116,3965
2905,2971
2967,3494
1070,4583
446,914
2957,4620
3632,384
3603,1615
2770,898
133,4314
2582,4813
2564,4208
2477,2810
3529,1820
2595,1480
332,573
284,4876
2786,852
3023,1217
1552,3782
110,2693
2031,739
1849,344
1233,367
1188,3197
1262,2155
2411,4669
2873,1030
667,3514
148,4368
470,1772
695,3268
407,955
418,1758
3753,3909
3427,885
3484,4798
1055,4250
1936,25
2858,81
1742,3189
915,2022
1359,1044
2927,3217
640,2507
1534,3184
2766,2308
260,722
2370,1678
1649,1553
3130,4881
3878,748
1526,2830
288,3561
1477,3350
2255,3339
3530,2248
2429,4063
1916,2265
2900,4673
2568,4568
2062,218
2039,2659
341,3593
1159,4362
721,2742
3069,2940
3917,2990
3906,3070
3732,4621
3299,1874
1367,3390
3916,3618
3964,3658
1173,555
2066,3624
2493,260
3617,2238
3444,2789
2036,613
2158,1024
3970,32
3456,453
2279,2187
1337,3100
3802,1639
3136,535
2970,3249
2803,4027
3173,2337
3225,3869
3354,746
118,2526
2449,3836
2110,2993
2563,2874
1903,804
2234,2008
2866,1907
3718,4728
3889,1478
2099,636
1874,4058
2653,2604
127,2906
1227,3009
2194,4844
2513,4388
778,2702
1594,3396
1710,393
3695,798
1487,3138
122,1955
2238,3151
2012,1181
459,4050
1341,682
1671,1865
2011,2869
247,2179
1324,3442
832,4481
3641,3802
3423,1534
2682,1335
3201,2531
1623,1629
557,3628
3729,3837
1699,1801
2592,4153
1500,127
1491,2648
1099,279
2897,2396
2709,1879
1848,1686
1731,4240
3644,2023
323,4244
3799,1259
1721,2534
1396,4497
1859,2683
2027,1130
535,2720
3396,3317
391,2905
3298,4137
3721,4518
1832,2727
637,63
1949,2901
1472,3476
3175,2929
1632,4543
2933,3906
1892,3173
2934,2654
2360,4657
2646,4243
2931,1363
671,4638
1012,2598
3372,4978
1593,1726
3426,3727
536,2449
2973,1915
248,4868
873,3903
2870,1265
3573,3206
2021,2431
3955,2699
895,2298
2608,1817
2292,1006
1241,3838
767,3999
3942,4855
2083,1289
383,3654
3318,1735
3071,592
1974,1503
3532,2868
1381,733
3788,3576
3122,3191
2069,1734
3825,2964
2152,3582
1610,3260
2761,468
2935,226
2266,2455
2275,3595
1319,4054
1066,3076
1729,2651
1655,3994
1761,4000
1994,3024
3674,1451
1804,3635
3443,2461
2183,3301
87,2611
3094,1144
1843,3661
3312,93
1200,1362
2960,1751
1335,1207
1527,1097
2210,3734
3633,2875
1394,171
3566,3743
449,1703
1484,4608
2693,2263
1103,4418
3244,2981
345,4343
1924,4721
896,4293
2139,963
3558,3434
2043,2215
839,100
343,792
3439,3134
2597,4833
3842,2726
2510,3878
2186,4069
1756,1340
125,1158
2830,1939
107,2388
3879,939
3418,202
1177,4787
1674,3969
3338,371
2000,1605
2791,4600
3903,3947
907,2183
2880,198
2367,817
754,4049
1866,4444
49,3997
567,4146
259,3336
352,1360
443,3444
510,4989
116,3939
3243,3096
1271,2488
313,1714
3733,2133
1803,2153
1268,3862
1256,1628
818,163
3144,806
1730,346
3246,3159
3622,4514
819,2491
2804,3590
2989,1523
370,2635
447,4475
2046,4108
619,4615
3421,4089
989,3113
586,3796
2697,4992
2955,625
1633,1856
2422,723
3327,1634
3237,4795
692,4617
1880,843
26,697
696,251
1591,1769
541,4602
1356,3464
980,4991
2499,1593
1522,4229
3392,4847
74,2606
3381,1132
1455,4576
3667,2768
3690,2798
3932,4899
3591,3637
747,4937
3422,2228
2940,2091
705,440
3722,4334
298,3920
3688,3380
2432,303
3015,2030
1031,2330
681,903
2084,3659
2483,1314
2899,2643
2722,2741
2807,3949
1748,368
1696,4456
3196,666
3382,945
2157,230
235,1870
501,989
2330,2136
3827,4287
3057,244
3274,2528
539,3988
1316,4577
123,3729
139,1548
1439,3398
2097,4123
1682,1485
3301,4304
3159,274
431,27
2296,4257
2691,2897
1987,2774
2754,1702
2578,1045
3387,4394
3862,1495
3782,896
2424,2126
3199,3915
2750,3344
2003,4102
2182,3585
3040,2644
472,4785
105,3044
582,3717
19,4175
3804,3439
3669,2623
3267,1119
1069,3298
3636,2220
2778,4693
3319,2629
280,4163
2431,551
2033,924
1065,2466
1457,3499
2425,1123
858,1458
3503,289
1734,3723
3681,139
1788,3797
1113,378
3126,1013
3689,1412
1556,3320
415,1747
3305,967
1577,2474
1606,3473
3521,2492
3854,1716
3570,2408
2307,652
269,2827
1452,3397
2746,4351
2078,291
1688,611
3256,4417
2795,278
2500,4508
3072,3937
3547,1284
2301,3408
1950,1439
3533,2845
438,4216
703,4896
634,3526
3963,1828
3556,719
2910,4891
765,3194
3195,3335
1790,3455
2598,1545
2825,2515
1796,1080
1691,2095
3661,612
2584,664
1539,1112
2272,988
3957,544
790,1452
3219,4924
3756,2068
844,125
3568,3372
3268,984
401,4809
3734,31
2175,4737
2148,4727
2910,2677
727,4997
764,2646
2699,1964
2280,2761
1211,1526
3303,1519
2200,3296
1946,3524
3339,3791
3565,2102
1907,588
1182,2294
3493,860
2130,1154
3952,2221
2283,1134
120,227
3457,3187
3430,610
1568,4384
3622,1078
1436,1453
1413,1863
2529,2253
1459,1421
874,2751
2320,540
1832,82
1749,809
2865,4735
73,2478
2940,3219
1676,3340
408,699
2837,2482
1420,749
2316,3006
2538,3949
3099,689
3090,1754
2450,4982
2441,2136
2929,2087
1254,2256
3598,2392
986,4107
3912,2296
3462,1802
2806,309
2,1957
1738,752
92,2061
3256,4395
1163,4022
437,1899
1168,2219
2391,2876
3943,2289
2492,2265
833,3108
3081,4130
3950,697
3026,1936
878,1303
2375,4596
1691,3066
2131,546
2332,2929
2326,2188
3141,4789
3470,4273
3056,3274
2530,3798
2916,3852
124,1984
695,1455
1951,4929
1705,3297
3611,207
584,2194
1766,1947
3541,3614
890,1218
500,1142
676,803
1217,680
311,2653
2331,3158
517,1169
1634,1736
239,1065
628,1872
3416,2397
3929,3704
1595,1101
2275,1911
1306,2848
2031,1001
778,2370
488,8
139,4100
1161,4182
853,2658
2234,2365
2400,2217
3313,4391
768,4536
2215,4770
2794,2026
3752,4907
3799,1096
188,1832
1387,854
2472,1680
694,701
13,786
3601,1554
1281,1692
2050,971
2639,3871
3971,502
3425,4465
80,930
1557,4189
1279,395
2387,3357
3964,2244
2418,766
363,3105
1435,1082
3730,3898
2341,3022
2528,270
421,4581
367,2951
3994,2640
3239,1871
924,782
1293,4388
2650,2635
961,4361
3219,4802
3941,2055
3391,3520
2141,4364
775,2245
1948,1728
1932,3885
664,953
1093,4690
997,4466
1193,4277
1889,2754
3723,104
429,4366
2112,4115
1707,2355
1637,1157
2138,1551
2721,2121
3390,788
3210,2301
122,2345
94,233
1172,1431
3259,1638
2159,1168
613,1819
3652,4479
2830,4001
302,1051
2580,2853
2713,521
420,4870
419,346
3218,1090
3882,2285
3977,2893
748,269
2202,2558
1649,93
3558,3515
1959,1469
1489,437
2035,905
1196,1803
2124,1010
3897,3027
2282,3097
3079,2647
1687,4805
1498,3733
3561,1115
2144,3323
1514,3785
33,4147
3566,2591
1864,841
1251,4252
333,488
1147,852
3000,3822
1101,2580
206,3118
423,2146
3495,76
3147,2728
2925,1070
3145,967
303,1436
698,2874
3142,4733
91,2823
3084,2688
707,2209
47,965
2574,3051
2224,2474
