activity_id,start_time,end_time,date
667,3:42 PM,2:34 PM,2/26/2024
455,9:17 PM,10:16 PM,2/14/2024
463,11:52 PM,11:03 PM,4/10/2024
1024,9:05 AM,6:19 AM,1/4/2024
950,7:27 PM,6:32 AM,11/28/2024
538,6:16 PM,1:16 AM,9/9/2024
403,1:26 AM,6:22 AM,8/14/2024
792,9:52 AM,5:18 PM,6/22/2024
841,4:03 AM,11:42 PM,6/21/2024
956,10:10 PM,2:03 PM,3/22/2024
773,9:16 PM,12:39 PM,6/13/2024
928,3:46 PM,7:54 PM,1/16/2024
829,8:57 PM,12:45 PM,10/24/2024
619,12:04 PM,1:17 PM,5/28/2024
817,5:15 PM,7:55 AM,12/22/2023
774,1:28 AM,4:33 AM,4/16/2024
950,12:53 PM,3:47 PM,6/25/2024
471,10:11 PM,7:15 AM,1/25/2024
1032,8:31 AM,7:01 AM,1/18/2024
688,1:12 PM,12:00 PM,1/18/2024
704,7:21 AM,9:29 AM,2/3/2024
606,10:08 PM,3:38 AM,5/16/2024
556,12:28 PM,8:21 PM,4/9/2024
720,3:28 PM,4:54 AM,6/2/2024
487,11:08 AM,1:47 PM,9/27/2024
914,6:05 AM,10:09 AM,6/17/2024
505,1:08 AM,5:30 AM,11/12/2024
754,3:26 PM,10:48 AM,10/4/2024
1123,3:41 AM,4:41 PM,10/3/2024
820,9:32 PM,1:03 AM,5/5/2024
1108,2:33 AM,4:27 AM,10/7/2024
816,6:10 AM,12:54 PM,8/19/2024
698,10:19 PM,2:19 AM,9/30/2024
686,7:47 AM,2:13 AM,11/3/2024
818,10:41 PM,10:48 PM,8/3/2024
462,6:56 PM,7:51 AM,7/20/2024
865,12:32 AM,6:15 PM,3/22/2024
610,6:47 PM,2:38 AM,9/2/2024
810,11:31 AM,12:10 AM,11/25/2024
918,3:47 AM,3:16 PM,6/30/2024
595,3:02 PM,1:20 PM,12/21/2023
701,11:48 PM,9:46 PM,4/7/2024
571,8:11 AM,1:43 AM,12/10/2024
759,10:03 AM,12:31 AM,8/2/2024
908,2:01 AM,1:09 AM,5/21/2024
1041,9:01 AM,1:09 PM,1/23/2024
604,7:11 AM,10:24 AM,6/4/2024
1017,1:42 PM,8:30 AM,4/28/2024
650,9:57 PM,11:03 PM,1/19/2024
527,6:23 AM,3:53 AM,4/6/2024
665,6:23 PM,6:01 PM,10/28/2024
960,2:33 PM,7:02 PM,10/24/2024
903,11:05 AM,6:47 AM,8/20/2024
1021,6:55 AM,3:06 PM,8/25/2024
458,2:04 AM,3:50 AM,2/8/2024
612,11:24 PM,10:57 AM,2/10/2024
631,7:26 AM,5:00 AM,1/14/2024
542,5:22 AM,2:00 AM,11/16/2024
720,1:08 PM,12:50 AM,8/30/2024
599,5:30 AM,4:06 PM,12/17/2023
783,2:46 PM,12:52 AM,1/20/2024
469,7:54 AM,8:21 PM,7/9/2024
1071,2:49 AM,8:16 PM,11/11/2024
487,9:34 AM,2:27 PM,7/17/2024
692,1:20 PM,12:30 PM,6/24/2024
936,7:44 AM,2:15 AM,7/1/2024
529,5:36 AM,6:11 AM,6/16/2024
853,8:45 PM,9:10 AM,8/4/2024
765,10:43 PM,5:24 AM,3/3/2024
745,7:31 PM,12:04 PM,11/28/2024
469,9:55 AM,11:48 AM,11/7/2024
760,7:48 PM,10:20 AM,1/31/2024
647,6:44 PM,3:38 PM,10/8/2024
656,12:15 PM,12:28 AM,10/15/2024
463,12:03 PM,1:06 AM,12/17/2023
651,9:56 AM,2:23 AM,10/26/2024
1060,6:13 PM,5:51 AM,3/1/2024
835,3:54 PM,3:50 AM,12/14/2023
909,11:28 AM,2:55 AM,6/29/2024
882,4:56 AM,3:01 PM,6/19/2024
512,7:16 PM,10:31 AM,9/20/2024
579,11:53 AM,3:47 PM,12/7/2024
489,6:49 PM,3:02 PM,6/7/2024
830,9:35 PM,10:23 AM,12/16/2023
1005,7:45 AM,1:18 AM,4/4/2024
587,2:32 AM,2:03 PM,9/17/2024
737,8:21 PM,10:15 PM,1/26/2024
820,3:32 AM,4:56 PM,10/31/2024
765,1:00 PM,2:39 AM,3/14/2024
618,2:55 AM,2:23 AM,8/23/2024
800,4:11 AM,4:46 AM,3/23/2024
438,6:36 AM,2:17 PM,8/1/2024
1082,10:58 PM,10:29 PM,3/13/2024
902,8:26 AM,2:15 AM,10/16/2024
776,12:13 PM,7:42 AM,1/19/2024
414,9:11 AM,12:49 AM,12/18/2023
775,10:17 AM,2:34 AM,5/18/2024
1090,2:55 AM,11:06 PM,10/25/2024
745,11:06 PM,2:43 PM,12/31/2023
967,11:30 AM,1:45 PM,3/9/2024
814,2:50 AM,7:49 AM,6/20/2024
789,10:18 PM,11:29 PM,5/6/2024
580,6:07 AM,10:04 AM,7/13/2024
467,11:29 PM,11:22 PM,1/24/2024
654,7:37 AM,7:58 AM,2/3/2024
905,9:59 AM,6:31 PM,11/19/2024
626,2:38 AM,9:09 AM,5/5/2024
479,2:07 PM,10:56 PM,10/29/2024
461,4:41 PM,11:31 PM,10/11/2024
1057,4:55 AM,8:46 AM,8/13/2024
540,8:25 AM,8:54 AM,4/16/2024
668,3:19 AM,5:11 PM,1/22/2024
827,5:49 AM,5:30 PM,7/8/2024
456,4:15 PM,6:01 PM,11/26/2024
398,3:22 AM,10:34 PM,7/29/2024
460,12:31 PM,4:24 PM,3/9/2024
525,5:39 PM,3:02 PM,2/27/2024
484,7:06 PM,10:17 AM,9/6/2024
882,6:06 AM,3:27 AM,1/27/2024
1120,1:04 AM,10:26 AM,7/26/2024
891,2:33 PM,1:31 AM,6/13/2024
671,9:55 PM,11:37 AM,3/14/2024
649,1:48 AM,12:52 PM,7/15/2024
1117,4:33 PM,9:02 AM,5/25/2024
685,6:56 AM,6:50 PM,4/16/2024
905,2:39 AM,1:13 PM,8/18/2024
1063,6:57 PM,3:11 PM,4/6/2024
745,2:26 AM,7:24 PM,1/18/2024
658,5:23 AM,5:07 PM,1/20/2024
767,9:48 PM,5:49 PM,4/30/2024
948,5:10 AM,1:27 PM,3/29/2024
619,4:04 AM,7:35 PM,12/4/2024
450,9:22 AM,8:09 PM,1/7/2024
1033,12:03 PM,3:00 PM,11/21/2024
