activity_id,start_time,end_time,date
422,7:18 AM,8:14 PM,7/1/2024
696,1:12 AM,2:52 AM,3/27/2024
820,4:19 PM,8:26 AM,1/22/2024
1085,11:29 PM,1:33 AM,5/10/2024
1038,7:28 AM,8:50 AM,9/19/2024
1068,1:28 PM,10:59 AM,6/12/2024
765,7:27 AM,4:37 PM,12/26/2023
818,4:28 AM,2:38 AM,3/24/2024
1038,6:51 PM,3:41 AM,10/15/2024
691,8:58 AM,8:10 AM,2/12/2024
750,1:19 PM,9:49 PM,1/17/2024
991,8:53 AM,10:54 PM,6/5/2024
897,3:21 AM,1:30 AM,11/10/2024
1122,4:00 AM,5:33 AM,12/23/2023
1079,6:00 PM,9:30 AM,11/27/2024
405,4:10 AM,2:04 PM,2/21/2024
849,9:12 AM,5:50 AM,9/2/2024
663,2:23 PM,3:55 AM,1/30/2024
621,12:16 AM,4:39 PM,3/20/2024
1095,6:50 PM,8:16 AM,2/6/2024
1050,12:32 PM,9:46 PM,2/12/2024
804,12:57 AM,8:27 AM,8/8/2024
698,5:22 AM,9:25 PM,10/18/2024
998,8:22 PM,10:27 PM,9/20/2024
1001,12:37 AM,12:28 AM,3/6/2024
1063,9:27 PM,12:28 PM,10/4/2024
631,12:26 PM,1:23 AM,1/3/2024
1004,11:45 AM,7:52 PM,5/21/2024
686,10:38 AM,6:36 AM,1/14/2024
626,10:00 AM,8:33 AM,11/11/2024
789,12:15 AM,11:44 AM,2/25/2024
972,5:34 PM,11:23 AM,12/30/2023
890,12:24 AM,6:08 AM,12/8/2024
444,6:56 AM,8:15 PM,2/17/2024
947,6:45 AM,10:03 AM,8/10/2024
527,7:06 PM,5:25 AM,6/6/2024
621,9:33 AM,1:34 AM,7/19/2024
1077,9:47 AM,8:51 AM,10/28/2024
581,2:25 AM,5:33 AM,8/31/2024
975,2:40 AM,7:57 PM,9/7/2024
858,2:45 AM,2:12 PM,1/22/2024
964,2:37 PM,8:33 AM,10/12/2024
972,1:57 PM,8:58 AM,4/25/2024
904,5:41 AM,3:08 AM,9/4/2024
