activity_type_id,capacity,price,Fitness_center_id,main_trainer_id
7,5,61.63,754,501
6,40,92.38,757,501
6,85,31.48,394,502
7,26,68.63,258,502
7,33,65.05,1043,503
5,76,79.86,154,503
5,95,69.44,258,504
7,91,65.47,866,504
6,99,45.03,977,505
7,46,50.26,755,505
6,27,93.35,441,506
5,81,92.73,332,506
3,71,14.28,881,507
7,94,54.3,678,507
6,80,54.98,514,508
3,99,17.44,1019,508
6,12,68.64,532,510
6,57,55.35,560,511
7,60,86.79,451,511
6,31,69.09,370,513
6,84,45.25,873,513
6,66,16.6,541,514
7,77,97.81,727,514
7,13,17.74,636,515
4,80,95.47,683,516
4,57,87.17,471,516
4,50,76.26,324,517
6,62,25.12,746,517
3,39,35.22,192,518
3,62,60.83,512,519
4,17,96.96,388,520
4,82,78.52,499,520
4,16,64.79,818,521
6,55,14.35,291,521
7,88,15.93,917,522
6,74,35.08,418,522
3,26,88.95,1031,523
4,37,74.25,992,523
4,49,43.26,690,524
7,60,25.35,389,525
3,71,68.91,268,526
4,50,87.51,778,526
4,18,48.39,626,528
5,79,63.71,376,528
6,58,72.63,753,530
5,7,74.38,1114,530
7,10,14.05,624,532
7,28,31.72,929,532
3,88,33.9,669,533
6,35,10.29,381,533
5,22,38.05,221,534
5,97,57.22,556,534
4,35,70.78,648,535
6,92,64.85,181,535
5,49,81.97,830,536
6,26,92.56,519,536
3,72,96.72,519,537
3,56,58.57,814,537
3,27,84.93,150,539
4,92,93.87,780,540
7,96,13.5,1051,540
7,48,30.94,585,541
3,56,16.41,329,542
6,52,6.44,459,542
5,79,56.06,868,543
6,38,38.23,184,543
5,53,87.16,1082,545
3,79,17.03,717,546
6,67,31.08,652,547
7,88,13.53,663,547
3,65,88.05,209,548
3,95,93.76,567,548
3,50,6.64,1053,549
3,89,33.91,312,549
7,70,13.11,1108,550
5,28,77.32,240,550
7,61,6.66,284,551
5,40,92.47,1083,552
5,79,44.19,132,552
5,97,12.8,257,553
7,50,47.96,808,553
6,30,23.0,663,554
6,26,20.31,274,556
5,56,6.64,762,556
7,90,45.25,1102,558
3,46,5.15,437,558
7,32,82.4,866,560
5,13,57.58,157,560
4,78,44.96,567,561
6,72,23.75,984,561
5,50,28.56,564,562
5,12,49.07,926,562
5,43,14.16,945,563
5,12,91.47,201,564
7,50,99.13,1051,564
5,77,76.84,295,565
7,33,97.52,612,566
6,83,39.51,243,566
5,65,63.48,517,567
6,83,16.92,589,568
4,38,24.83,142,568
4,65,16.71,372,569
6,15,65.92,560,570
5,76,28.67,528,570
4,26,13.9,210,571
6,55,50.01,1117,571
5,45,65.0,1093,572
7,67,24.47,792,572
3,8,91.93,337,573
5,39,91.0,507,574
7,97,61.57,159,575
6,48,99.55,427,575
5,60,94.91,787,576
3,20,27.09,721,577
5,16,12.44,243,577
6,9,70.58,434,578
3,7,15.86,547,578
7,54,9.91,722,579
3,44,55.09,1044,579
7,7,77.56,628,581
7,65,42.23,719,582
3,54,78.26,791,582
6,66,67.93,270,583
5,22,14.39,315,583
7,59,47.7,852,584
5,15,48.92,872,584
4,85,61.79,792,585
3,90,21.33,459,586
6,89,64.27,1078,586
6,62,94.39,187,587
5,77,30.3,316,587
3,50,47.3,218,588
6,42,97.39,909,590
4,44,79.88,196,590
3,53,90.56,813,591
5,74,87.73,884,592
7,52,30.21,147,592
3,80,96.12,961,593
7,88,59.33,1117,593
4,70,86.08,644,594
6,80,71.58,379,594
7,26,40.84,540,595
7,81,91.92,628,596
3,44,23.05,758,596
6,39,6.79,1049,597
3,66,75.37,976,597
6,17,81.01,857,598
4,48,39.88,920,598
7,18,79.08,804,599
6,58,45.6,688,601
7,47,62.92,646,601
5,81,37.85,812,602
6,13,15.03,545,603
4,5,80.08,427,603
7,42,97.49,333,604
4,53,85.82,260,604
6,25,27.34,246,605
7,24,7.81,975,605
6,16,60.23,162,606
7,91,94.62,980,606
7,100,26.11,403,607
6,68,29.14,712,607
7,8,86.27,537,608
3,90,83.77,522,608
4,32,91.35,569,609
7,48,97.85,318,609
4,33,22.16,302,610
4,83,66.35,460,610
6,35,17.74,946,611
6,53,51.57,739,611
5,26,76.42,906,612
3,86,12.47,454,612
4,80,52.38,635,613
4,47,82.64,306,614
4,87,45.58,183,614
4,48,59.78,1110,616
3,100,36.26,583,616
7,92,6.03,943,617
7,88,8.52,722,618
7,27,10.17,794,618
4,33,13.63,765,619
7,62,62.03,651,619
6,75,36.55,979,621
5,53,76.06,713,621
4,48,39.02,524,622
6,63,27.33,1024,622
6,100,14.52,569,623
7,98,88.07,695,623
6,23,81.69,498,624
5,59,85.75,819,625
5,93,10.7,756,625
7,98,44.98,884,626
3,19,15.1,320,626
7,58,98.84,553,627
5,77,96.59,815,628
7,6,40.92,736,628
3,21,56.12,1022,629
4,63,59.94,1065,629
3,93,33.39,994,630
4,90,43.79,784,630
5,88,25.31,343,631
4,10,51.53,793,632
5,48,43.36,653,634
3,45,50.98,1081,634
6,33,66.01,653,635
6,54,25.16,1118,636
7,21,84.72,869,636
5,66,28.35,849,637
3,100,45.76,961,638
6,90,85.67,257,638
7,74,46.84,744,639
4,80,73.34,822,639
4,59,55.6,702,640
7,99,24.09,835,641
6,51,78.23,598,643
5,93,88.17,1110,644
7,40,46.71,988,644
5,89,53.31,622,645
5,29,20.31,286,646
4,24,53.14,264,646
4,24,30.49,611,647
4,99,47.79,704,647
4,56,13.46,512,648
6,85,79.72,748,648
3,46,31.54,896,649
4,41,84.69,1039,650
7,27,65.9,1104,651
4,11,28.34,863,652
5,13,61.07,266,652
6,42,16.97,127,654
7,84,10.89,744,654
5,21,13.73,877,655
6,26,92.5,560,655
3,40,53.97,524,656
5,79,64.61,598,656
5,91,45.97,1062,657
4,76,73.47,944,657
6,42,39.4,547,658
7,46,11.49,949,658
6,100,78.66,194,660
7,53,20.67,602,660
7,42,9.86,193,661
5,34,40.78,902,661
5,92,45.1,1113,662
4,23,93.43,263,662
6,49,21.59,848,664
7,17,92.44,1048,664
4,61,57.25,575,665
6,13,68.52,167,665
5,91,85.1,596,666
6,7,5.36,490,667
7,79,70.8,517,667
5,31,51.64,517,668
7,14,68.81,194,669
7,84,94.79,260,670
7,90,81.58,477,670
6,67,11.05,724,671
7,38,89.3,261,671
3,18,28.53,181,672
6,80,47.72,337,672
6,23,12.3,574,673
6,30,25.41,139,673
3,42,74.15,699,674
4,87,35.86,678,674
5,87,14.47,162,675
7,25,94.99,341,675
3,21,92.19,292,678
3,65,62.25,787,680
7,67,77.25,189,680
4,27,36.7,821,682
7,28,42.31,297,683
7,72,67.83,860,683
3,51,13.89,1011,684
3,31,33.55,313,684
4,8,61.99,1107,686
7,85,50.11,940,686
4,40,19.17,998,687
4,32,25.28,1007,687
5,38,21.91,618,688
4,91,44.87,348,688
4,100,57.19,1109,689
5,86,74.62,170,689
3,19,66.6,1027,690
5,49,76.03,260,690
6,55,48.12,646,691
4,60,91.02,965,692
5,18,11.13,892,693
5,61,8.37,434,693
6,63,84.39,347,694
6,33,78.16,643,695
6,8,79.12,578,696
7,55,34.57,570,696
3,83,11.9,523,697
7,84,8.18,475,697
6,47,93.89,324,698
5,16,7.68,1017,698
4,60,37.08,829,700
5,84,73.85,1013,700
4,75,46.62,542,701
3,37,74.03,293,702
3,48,74.59,431,702
4,22,73.58,1008,703
3,19,49.38,947,703
6,84,36.55,355,704
5,8,60.13,940,705
4,90,54.78,790,705
7,43,15.99,732,706
6,80,79.42,706,706
4,95,13.07,505,707
4,47,43.34,1055,707
7,90,60.39,702,709
7,18,37.47,435,709
6,67,51.21,1068,710
4,20,85.07,817,710
5,35,27.27,127,711
4,55,67.61,772,711
6,69,59.74,622,712
4,52,41.92,379,715
7,57,26.13,673,715
7,39,86.72,1032,716
4,15,70.59,852,716
6,67,87.03,849,717
7,95,53.53,372,717
4,22,57.4,775,718
4,5,55.25,624,719
5,46,55.85,941,719
5,94,18.59,523,721
7,83,96.22,740,721
3,24,52.19,769,722
5,48,82.0,769,723
3,73,35.11,959,723
4,18,44.14,776,724
3,33,38.2,731,724
6,6,38.93,822,725
7,93,81.09,236,725
7,63,18.6,864,726
7,47,21.69,308,726
5,27,49.66,132,728
6,16,86.12,592,728
7,99,95.05,515,729
6,89,17.66,488,729
7,31,60.87,636,731
7,10,71.95,681,732
5,45,6.8,1024,733
5,70,17.18,450,734
4,52,80.52,627,734
3,44,99.19,574,736
4,70,16.15,1065,738
6,52,37.54,957,738
4,56,91.5,428,740
4,25,85.6,570,740
7,20,12.14,726,741
4,81,82.82,698,742
7,54,43.94,1038,742
6,96,99.65,160,743
7,7,13.33,482,743
7,83,11.92,1041,744
5,60,69.76,831,744
5,87,80.82,884,745
6,33,58.7,883,745
3,7,28.2,828,746
7,10,98.82,755,746
7,88,58.03,348,747
3,95,90.17,142,747
5,37,51.56,464,748
7,38,92.54,517,748
5,50,37.11,348,749
6,56,22.68,574,750
3,46,13.98,922,751
3,30,44.13,911,752
7,32,12.37,1031,753
6,55,30.57,620,754
3,42,42.81,231,754
5,67,23.23,856,756
7,34,15.79,270,757
4,95,42.95,383,757
5,19,5.71,1076,758
3,23,88.56,960,758
3,16,77.36,430,759
6,10,25.57,490,760
4,61,66.8,504,760
6,81,47.98,619,761
3,54,84.17,703,761
7,29,98.69,368,763
5,87,35.03,549,763
5,47,66.29,953,764
5,78,42.45,647,766
6,46,65.14,697,766
7,95,48.19,500,767
6,70,23.27,908,767
6,12,79.26,1117,769
5,70,27.92,206,769
5,61,65.84,763,770
6,47,47.86,1029,771
6,24,76.09,873,771
5,82,85.17,236,772
5,9,75.64,588,772
4,71,52.97,378,773
5,29,82.67,576,773
7,57,67.21,777,774
3,10,78.22,742,775
4,96,43.43,404,775
6,68,24.39,929,776
3,19,56.07,868,777
4,21,72.7,813,777
7,75,82.48,1072,778
7,55,78.18,755,779
5,43,20.32,656,779
4,23,48.17,329,780
4,16,86.66,858,780
6,29,73.48,268,782
4,76,9.96,1105,782
7,81,15.49,157,784
3,77,12.9,312,785
7,44,9.87,986,786
7,96,99.48,656,786
6,67,15.53,554,787
6,11,17.85,923,788
5,77,86.17,1044,789
3,88,7.72,198,789
4,34,41.5,929,791
7,18,95.01,727,791
3,33,32.35,327,792
7,83,90.09,1042,792
7,11,37.29,699,794
4,20,8.45,214,795
4,33,93.19,828,795
6,93,70.89,1080,796
6,24,36.45,793,796
7,24,38.09,291,798
6,43,15.37,723,799
5,72,39.6,949,799
